No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
11,Tenant,Require tenant-aware data access,All business data access should keep tenant scope explicit,Pass or derive tenantId consistently,Read shared business data without tenant filtering,crm:<tenantId>:contacts:<id>,customer:123 without tenant scope,High,
12,Tenant,Use tenant context middleware,Request tenant resolution should come from the established middleware/context flow,Read tenant from TenantContextService,Parse tenant ad hoc in every controller,this.tenantContextService.getTenantId(),req.headers['x-tenant-id'] everywhere,High,
13,Views,Render server pages from Nest views,Use view rendering for HTML pages instead of SPA assumptions when applicable,Return rendered MVC page context,Assume React hydration or app router patterns,res.render('dashboard' model),page.tsx route conventions,Medium,
14,Views,Separate page data from page rendering,Prepare page data in services and map it to view models,Use view mappers or DTOs,Pass raw entities directly into templates,CrmContactViewMapper.toDashboard(summary),res.render('page' entity),Medium,
15,Assets,Use Vite for asset compilation,Frontend assets should flow through vite.config.ts into public/assets,Edit source assets and rebuild,Edit generated files as source of truth,src/styles/app.css,public/assets/css/app.css edited manually,High,
16,Assets,Keep generated assets out of design decisions,Treat public/assets as build output,Change source CSS/views first,Review generated CSS as if it were authored source,src/styles/app.css,public/assets/css/app.css as source,Medium,
17,Styling,Use Tailwind from source entry,Tailwind usage should originate from the source CSS entry and actual rendered markup,Use src/styles/app.css and template classes,Invent separate frontend pipeline without need,@import ""tailwindcss"" in src/styles/app.css,theme html index.html assumptions,Medium,
18,Performance,Cache hot data in services,Use CacheService for dashboard list and detail reads that are queried often,Cache at service layer,Cache directly in controllers or repositories,cacheService.get(cacheKey),res.set cache around repository internals,High,
19,Performance,Use tenant-aware cache keys,Cache keys must include tenant scope and resource context,Prefix keys with module and tenant,Use global keys for tenant data,crm:<tenantId>:dashboard:<version>,dashboard:summary,High,
20,Performance,Prefer versioned collection invalidation,List and dashboard cache should use a version key instead of wildcard scans,Delete version key on writes,Scan and delete many wildcard keys on each update,crm:<tenantId>:contacts:version,DEL crm:* on write,High,
21,Performance,Use explicit TTL values,Choose TTL by volatility and endpoint type,Set separate TTL for detail list dashboard,Use one global TTL for everything,set(key value 60) for dashboard only,set all keys for 3600 by default,Medium,
22,Performance,Separate HTML cache from data cache,Reverse-proxy cache and Redis cache solve different problems,Set Cache-Control for cacheable pages,Assume Redis replaces HTML caching,response.setHeader('Cache-Control' 'public, max-age=60'),cache data only and ignore page caching,High,
23,Performance,Mark cacheable pages intentionally,Only public non-user-specific pages should be HTML-cacheable,Use explicit cache decorator/header policy,Cache personalized pages publicly,@HtmlCache({ maxAgeSeconds: 60 }),Cache-Control public on user-specific page,High,
24,Security,Validate and authorize before writes,Mutations should validate input and apply policy checks before persistence,Run DTO + policy + service flow,Trust body and save directly,policy.normalizeListQuery(query),repository.save(body),High,
25,Security,Never trust HTML input,Sanitize or escape user-provided HTML before rendering,Render safe content only,Inject raw user HTML into views,escaped template output,innerHTML with unsanitized content,High,
26,Security,Use env through ConfigModule,Runtime configuration should come from Nest ConfigModule and validated access patterns,Read env via ConfigService,Scatter process.env reads everywhere,configService.get('DB_HOST'),process.env.DB_HOST in random files,Medium,https://docs.nestjs.com/techniques/configuration
27,HTML,Use layout partials consistently,Shared headers nav and shells should be centralized for server-rendered pages,Reuse layout fragments,Duplicate shell markup across pages,shared layout partial,copy-pasted nav in every view,Low,
28,HTML,Keep templates presentation-focused,Templates should not become the place for orchestration or branching business logic,Pass prepared view models,Compute business state deeply in templates,res.render('dashboard' viewModel),complex loops + policy logic in template,Medium,
29,Forms,Post to Nest endpoints cleanly,Form actions should target real Nest routes and return clear success/error flows,Use DTO-backed endpoints and redirects,Depend on client-only JS for basic CRUD flow,<form method='post' action='/crm/contacts'>,button onClick fetch only for critical flow,Medium,
30,Testing,Build before claiming confidence,For this repo the minimum safe verification is a successful build,Run npm run build,Claim success from static reading only,npm run build,Looks correct so it should work,High,
31,Testing,Verify active wiring first,Some areas contain older duplicate files so verify the module wiring before making claims,Check module.ts imports/controllers/providers,Review stale duplicate files and assume they are active,src/modules/crm/module.ts,old crm.service.ts only,High,
32,Docs,Keep docs repo-specific,Guides and shared data should describe Workless rather than generic frontend frameworks,Document Nest MVC and cache reality,Leave copied Next.js or React guidance in place,Workless NestJS monolith notes,App Router guidance in nestjs.csv,High,
33,Deployment,Keep monolith assumptions,Optimize as a modular monolith before introducing microservices,Scale with cache queue proxy and module isolation,Split services prematurely,monolith + Redis + NGINX,microservices by default,Medium,
34,Deployment,Use reverse proxy for HTML cache,Public cacheable HTML should be designed for NGINX or similar reverse proxy support,Set headers and vary correctly,Assume app memory cache is enough for full page caching,Cache-Control + Vary headers only,in-memory page cache only,Medium,
35,Queue,Use queue for async side effects,Background tasks belong in queue/infrastructure when they do not need synchronous HTTP completion,Push notifications or jobs asynchronously,Block response on non-critical side effects,enqueue notification job,send all notifications inline in controller,Low,
36,DX,Prefer absolute clarity over borrowed patterns,When stack-specific guidance conflicts with repo reality choose the repo reality,Inspect src and config files first,Force generic best practices from another stack,read src/app.module.ts first,apply Next.js conventions to Nest,High,
